Single Year of Age,Female,Male
0,1761.625,1850.625
1,1721.5625,1804.6875
2,1810.875,1889.75
3,1842.6875,1937.5625
4,1863.6875,1980.375
5,1958.875,2042.75
6,2038.875,2130.75
7,2098.25,2214.3125
8,2152.3125,2268.5
9,2201.6875,2310.5625
10,2254.125,2377.1875
11,2303.9375,2393.5
12,2331.0625,2434.8125
13,2298.875,2404.625
14,2255.0,2334.5
15,2155.75,2246.75
16,2073.0,2165.375
17,2065.3125,2186.3125
18,2053.25,2118.75
19,1983.0625,2054.1875
20,1976.5,2007.5
21,1868.125,1923.1875
22,1923.0,1965.625
23,1878.1875,1929.4375
24,1835.25,1889.625
25,1830.875,1873.0625
26,1804.0,1836.0
27,1845.5,1822.625
28,1861.75,1806.375
29,1933.5,1874.3125
30,2052.5625,1928.625
31,2106.875,2014.8125
32,2148.875,2025.8125
33,2155.5625,1993.0
34,2267.75,2070.0625
35,2371.25,2168.4375
36,2439.375,2239.25
37,2449.5625,2276.6875
38,2556.375,2344.5625
39,2662.0,2421.8125
40,2696.4375,2518.8125
41,2731.0,2587.5625
42,2708.5625,2602.75
43,2588.0,2454.6875
44,2461.1875,2371.25
45,2406.625,2356.875
46,2382.9375,2330.5625
47,2341.9375,2315.8125
48,2321.5625,2279.5
49,2317.5625,2290.625
50,2262.4375,2253.125
51,2189.0625,2182.875
52,2150.875,2147.25
53,2012.75,2038.1875
54,2010.5,2003.125
55,1972.6875,1959.5625
56,1954.9375,1917.75
57,1985.25,1930.6875
58,1916.25,1860.9375
59,1875.0,1824.75
60,1816.4375,1778.4375
61,1803.5,1740.5625
62,1743.6875,1694.75
63,1644.5,1617.75
64,1631.8125,1570.4375
65,1573.9375,1556.25
66,1541.375,1484.9375
67,1532.75,1476.6875
68,1438.625,1406.375
69,1460.9375,1412.125
70,1368.5625,1328.3125
71,1327.25,1278.0625
72,1322.4375,1247.8125
73,1258.375,1195.0625
74,1198.5625,1155.8125
75,1143.375,1092.0625
76,1104.0625,1005.875
77,998.1875,912.5625
78,916.625,837.0
79,871.125,760.375
80,760.8125,667.125
81,699.4375,591.875
82,672.4375,548.6875
83,624.0625,493.75
84,555.625,422.8125
85,518.9375,384.625
86,468.8125,335.625
87,422.875,282.1875
88,370.4375,235.6875
89,310.0625,189.75
90,267.8125,152.75
91,236.3125,121.875
92,175.5625,81.0625
93,145.0,58.5625
94,108.5625,44.875
95,84.0,30.125
96,59.75,20.4375
97,45.75,13.5625
98,30.75,8.125
99,21.0,6.5625
100,36.5,9.625
